Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,987.900024,990.299988,978.000000,987.400024,956.495483,3027400
2019-10-23,991.700012,994.000000,975.500000,989.900024,958.917236,3253100
2019-10-24,989.000000,1001.500000,982.400024,998.000000,966.763733,3383700
2019-10-25,1002.000000,1005.500000,988.799988,996.799988,965.601257,2539400
2019-10-28,1003.000000,1008.000000,999.099976,1002.500000,971.122864,2316600
2019-10-29,1015.000000,1038.500000,1013.000000,1025.500000,993.403015,4610200
2019-10-30,1020.000000,1026.500000,1006.500000,1009.000000,977.419434,4463900
2019-10-31,1005.000000,1010.000000,985.000000,1005.000000,973.544617,2669800
2019-11-01,975.000000,1001.000000,975.000000,993.000000,961.920227,3875400
2019-11-05,1050.000000,1059.000000,993.000000,1014.000000,982.262939,6235100
2019-11-06,1019.000000,1024.000000,1010.000000,1018.000000,986.137756,2695300
2019-11-07,1006.000000,1014.000000,997.000000,1002.000000,970.638550,2812500
2019-11-08,1015.000000,1022.000000,1003.000000,1010.000000,978.388123,3257900
2019-11-11,1019.000000,1021.000000,1002.000000,1003.000000,971.607239,1918100
2019-11-12,1003.000000,1006.000000,991.000000,1005.000000,973.544617,2845000
2019-11-13,1000.000000,1006.000000,998.000000,1000.000000,968.701111,1853400
2019-11-14,995.000000,998.000000,978.000000,978.000000,947.389709,2487300
2019-11-15,968.000000,983.000000,967.000000,973.000000,942.546204,1997700
2019-11-18,976.000000,981.000000,971.000000,975.000000,944.483582,2324200
2019-11-19,965.000000,972.000000,958.000000,969.000000,938.671387,2845100
2019-11-20,958.000000,970.000000,951.000000,952.000000,922.203491,3375100
2019-11-21,955.000000,964.000000,943.000000,957.000000,927.046997,3969000
2019-11-22,959.000000,973.000000,956.000000,956.000000,926.078247,3008000
2019-11-25,962.000000,972.000000,962.000000,969.000000,938.671387,1492500
2019-11-26,966.000000,974.000000,961.000000,967.000000,936.734009,3836800
2019-11-27,976.000000,980.000000,970.000000,974.000000,943.514893,2344100
2019-11-28,977.000000,980.000000,970.000000,973.000000,942.546204,1484500
2019-11-29,980.000000,983.000000,969.000000,970.000000,939.640076,4220600
2019-12-02,975.000000,988.000000,973.000000,977.000000,946.421021,2217500
2019-12-03,957.000000,960.000000,950.000000,950.000000,920.266052,3757200
2019-12-04,935.000000,941.000000,928.000000,935.000000,905.735535,3472400
2019-12-05,944.000000,951.000000,940.000000,945.000000,915.422546,2809800
2019-12-06,942.000000,952.000000,938.000000,950.000000,920.266052,3326600
2019-12-09,961.000000,970.000000,954.000000,970.000000,939.640076,3031600
2019-12-10,965.000000,971.000000,957.000000,958.000000,928.015686,2613800
2019-12-11,958.000000,961.000000,948.000000,953.000000,923.172180,2172300
2019-12-12,950.000000,954.000000,942.000000,942.000000,912.516479,1991300
2019-12-13,965.000000,977.000000,962.000000,977.000000,946.421021,5409400
2019-12-16,967.000000,971.000000,956.000000,957.000000,927.046997,2330200
2019-12-17,966.000000,967.000000,957.000000,960.000000,929.953064,3032900
2019-12-18,955.000000,961.000000,949.000000,959.000000,928.984375,3937800
2019-12-19,956.000000,961.000000,948.000000,961.000000,930.921753,3171800
2019-12-20,955.000000,959.000000,949.000000,953.000000,923.172180,3600900
2019-12-23,956.000000,957.000000,942.000000,944.000000,914.453857,2726700
2019-12-24,945.000000,949.000000,937.000000,943.000000,913.485168,2673600
2019-12-25,936.000000,938.000000,925.000000,926.000000,897.017212,1953500
2019-12-26,924.000000,935.000000,922.000000,930.000000,900.892029,1951000
2019-12-27,939.000000,944.000000,933.000000,942.000000,912.516479,2719300
2019-12-30,933.000000,943.000000,930.000000,938.000000,908.641663,2665000
2020-01-06,925.000000,934.000000,913.000000,915.000000,886.361511,3871000
2020-01-07,926.000000,944.000000,926.000000,936.000000,906.704224,3746200
2020-01-08,921.000000,930.000000,916.000000,927.000000,897.985962,3983100
2020-01-09,946.000000,953.000000,942.000000,949.000000,919.297363,3497300
2020-01-10,960.000000,965.000000,955.000000,955.000000,925.109558,4710100
2020-01-14,957.000000,961.000000,952.000000,959.000000,928.984375,3579700
2020-01-15,956.000000,959.000000,943.000000,950.000000,920.266052,3576900
2020-01-16,959.000000,964.000000,948.000000,953.000000,923.172180,3719800
2020-01-17,965.000000,1008.000000,965.000000,1008.000000,976.450745,7650400
2020-01-20,1010.000000,1030.000000,1010.000000,1017.000000,985.169067,4110200
2020-01-21,1013.000000,1013.000000,987.000000,987.000000,956.108032,3312100
2020-01-22,979.000000,979.000000,967.000000,972.000000,941.577515,4100500
2020-01-23,971.000000,974.000000,963.000000,969.000000,938.671387,3651100
2020-01-24,963.000000,965.000000,951.000000,951.000000,921.234741,3809500
2020-01-27,924.000000,932.000000,920.000000,930.000000,900.892029,4217200
2020-01-28,933.000000,939.000000,927.000000,935.000000,905.735535,3791200
2020-01-29,934.000000,945.000000,925.000000,939.000000,909.610352,3920600
2020-01-30,946.000000,946.000000,919.000000,921.000000,892.173706,3649100
2020-01-31,939.000000,940.000000,924.000000,934.000000,904.766846,4106800
2020-02-03,910.000000,916.000000,898.000000,909.000000,880.549316,4410400
2020-02-04,908.000000,922.000000,900.000000,921.000000,892.173706,4543900
2020-02-05,936.000000,946.000000,930.000000,941.000000,911.547729,4061000
2020-02-06,941.000000,957.000000,928.000000,946.000000,916.391235,7604700
2020-02-07,941.000000,943.000000,908.000000,912.000000,883.455444,5061900
2020-02-10,902.000000,905.000000,887.000000,888.000000,860.206604,4041000
2020-02-12,895.000000,898.000000,883.000000,898.000000,869.893616,4389000
2020-02-13,902.000000,913.000000,902.000000,905.000000,876.674500,3733600
2020-02-14,897.000000,897.000000,885.000000,889.000000,861.175293,3395300
2020-02-17,882.000000,884.000000,868.000000,883.000000,855.363098,2642400
2020-02-18,879.000000,890.000000,878.000000,884.000000,856.331787,2299700
2020-02-19,884.000000,889.000000,880.000000,883.000000,855.363098,2250100
2020-02-20,909.000000,916.000000,892.000000,898.000000,869.893616,3812500
2020-02-21,903.000000,911.000000,896.000000,897.000000,868.924927,2562500
2020-02-25,854.000000,858.000000,836.000000,836.000000,809.834167,6919500
2020-02-26,820.000000,820.000000,800.000000,816.000000,790.460144,7021700
2020-02-27,802.000000,807.000000,786.000000,788.000000,763.336487,5502200
2020-02-28,758.000000,773.000000,744.000000,750.000000,726.525818,7462100
2020-03-02,735.000000,771.000000,735.000000,758.000000,734.275452,6354000
2020-03-03,773.000000,776.000000,738.000000,740.000000,716.838806,4931700
2020-03-04,725.000000,747.000000,716.000000,740.000000,716.838806,4939200
2020-03-05,740.000000,744.000000,727.000000,735.000000,711.995300,4311500
2020-03-06,715.000000,718.000000,694.000000,696.000000,674.216003,5362900
2020-03-09,666.000000,673.000000,626.000000,627.000000,607.375610,8682100
2020-03-10,617.000000,655.000000,601.000000,650.000000,629.655701,9298400
2020-03-11,660.000000,680.000000,646.000000,646.000000,625.780945,9644500
2020-03-12,629.000000,635.000000,599.000000,609.000000,589.938965,11326300
2020-03-13,550.000000,604.000000,543.000000,575.000000,557.003174,11910300
2020-03-16,585.000000,599.000000,569.000000,570.000000,552.159668,7198600
2020-03-17,557.000000,602.000000,550.000000,591.000000,572.502380,10176600
2020-03-18,593.000000,629.000000,587.000000,591.000000,572.502380,8085300
2020-03-19,605.000000,647.000000,596.000000,634.000000,614.156494,11472100
2020-03-23,610.000000,613.000000,570.000000,581.000000,562.815369,9930200
2020-03-24,598.000000,616.000000,592.000000,616.000000,596.719910,6128000
2020-03-25,636.000000,657.000000,623.000000,655.000000,634.499207,7835200
2020-03-26,654.000000,658.000000,625.000000,628.000000,608.344299,6678000
2020-03-27,650.000000,655.000000,624.000000,639.000000,619.000000,6888500
2020-03-30,601.000000,609.000000,593.000000,606.000000,606.000000,8521200
2020-03-31,607.000000,616.000000,572.000000,572.000000,572.000000,8972800
2020-04-01,562.000000,575.000000,534.000000,539.000000,539.000000,9615300
2020-04-02,528.000000,530.000000,511.000000,516.000000,516.000000,7470500
2020-04-03,561.000000,575.000000,507.000000,511.000000,511.000000,6268300
2020-04-06,509.000000,544.000000,505.000000,539.000000,539.000000,6946300
2020-04-07,559.000000,571.000000,540.000000,559.000000,559.000000,7750500
2020-04-08,573.000000,577.000000,552.000000,574.000000,574.000000,7588200
2020-04-09,580.000000,597.000000,575.000000,596.000000,596.000000,7843000
2020-04-10,588.000000,603.000000,584.000000,601.000000,601.000000,6474200
2020-04-13,584.000000,590.000000,570.000000,571.000000,571.000000,5205600
2020-04-14,563.000000,598.000000,561.000000,594.000000,594.000000,6744300
2020-04-15,584.000000,588.000000,572.000000,580.000000,580.000000,5777500
2020-04-16,560.000000,562.000000,548.000000,550.000000,550.000000,6734000
2020-04-17,560.000000,577.000000,556.000000,575.000000,575.000000,7229700
2020-04-20,562.000000,566.000000,557.000000,562.000000,562.000000,5502300
2020-04-21,550.000000,560.000000,542.000000,548.000000,548.000000,8771700
2020-04-22,540.000000,541.000000,528.000000,529.000000,529.000000,6538700
2020-04-23,539.000000,553.000000,537.000000,553.000000,553.000000,6199600
2020-04-24,544.000000,553.000000,536.000000,552.000000,552.000000,7071000
2020-04-27,561.000000,579.000000,553.000000,578.000000,578.000000,7689900
2020-04-28,579.000000,589.000000,573.000000,581.000000,581.000000,6722700
2020-04-30,600.000000,617.000000,600.000000,612.000000,612.000000,7185100
2020-05-01,595.000000,596.000000,570.000000,575.000000,575.000000,6903900
2020-05-07,563.000000,571.000000,546.000000,550.000000,550.000000,6087600
2020-05-08,560.000000,585.000000,552.000000,585.000000,585.000000,5525400
2020-05-11,594.000000,633.000000,589.000000,632.000000,632.000000,6786800
2020-05-12,620.000000,626.000000,607.000000,610.000000,610.000000,6175900
2020-05-13,587.000000,615.000000,586.000000,603.000000,603.000000,5826800
2020-05-14,593.000000,598.000000,584.000000,584.000000,584.000000,6080300
2020-05-15,609.000000,626.000000,601.000000,617.000000,617.000000,9394500
